year,collection_round,sub_basin,Total
2020,2,Imhadaem,149
2020,2,Taehwagang,157
2020,2,Seomjingang_Daem,177
2020,2,Paldangdaem,60
2020,2,Hwangryonggang,210
2020,2,Gumibo(nakdonggumi),137
2020,2,Seomjingang_Daemharyu,117
2020,2,Yangyang_Namdaecheon,288
2020,2,Nakdonggang_Hagueon,204
2020,2,Yeongdongcheon,122
2020,2,Andongdaemharyu,130
2020,2,Milyanggang,204
2020,2,Yongdamdaemharyu,62
2020,2,Namhangangsangryu,112
2020,2,Yongdamdaem,137
2020,2,Wando,133
2020,2,Seomgang,138
2020,2,Pyeonghwauidaem,48
2020,2,Osucheon,179
2020,2,Bunam_Seawall,155
2020,2,Daecheongdaemharyu,79
2020,2,Dalcheon,158
2020,2,Bocheongcheon,125
2021,1,Hangang_Goyang,212
2021,1,Hyeongsangang,142
2021,1,Suyeonggang,324
2021,1,Saemangeum(jiksocheon),162
2021,1,Gangjeonggoryeongbo(nakdongwaegwan),191
2021,1,Namgang,192
2021,1,Seomjingokseong,137
2021,1,Geumhogang,249
2021,1,Gapcheon,142
2021,1,Yeongsangang_Hagueon,73
2021,1,Changnyeonghapcheonbo(nakdonggoryeong),199
2021,1,Gamcheon,153
2021,1,Soyanggang,110
2021,1,Namhaedo,203
2021,1,Geumsanmyeon,94
2021,1,Tamjingang,190
2021,1,Watancheon,215
2021,1,Daeho_Seawall,154
2021,1,Yeongsangang_Sangryu,196
2021,1,Byeongseongcheon,67
2021,1,Geojedo,240
2021,1,Hangang_Jamsil,131
2021,1,Imjingangharyu,48
2021,1,Gangreung_Namdaecheon,204
2021,1,Chungjudaem,195
2021,1,Seomjingang_Seonamhae,267
2021,1,Hantangang,153
2021,1,Daecheongdaem,105
2021,1,Yeongsangang_Haryu,207
2021,1,Jejunamhae,31
2021,1,Yeongamcheon,144
2021,1,Imjingangsangryu,98
2021,1,Gahwacheon,376
2021,1,Hangang_Seoul,207
2021,1,Mihocheon,154
2021,1,Jujincheon,242
2021,1,Muju_Namdaecheon,87
2021,1,Inbukcheon,77
2021,1,Daejongcheon,148
2021,1,Sunchang,179
2021,1,Hwanggang,203
2021,1,Hoecheon,188
2021,1,Uiamdaem,152
2021,1,Gomakwoncheon,169
2021,1,Jejuseohae,41
2021,1,Sihwaho,74
2021,1,Seomjingang_Haryu,329
2021,1,Anseongcheon,235
2021,1,Geumgang_Gongju,319
2021,1,Dongjingang,225
2021,1,Namhangangharyu,327
2021,1,Naeseongcheon,141
2021,1,Pyeongchanggang,120
2021,1,Nonsancheon,193
2021,1,Sapgyocheon,307
2021,1,Isacheon,217
2021,1,Jejubukhae,41
2021,1,Samcheokosipcheon,172
2021,1,Yeosusi,58
2021,1,Juamdaem,237
2021,1,Cheongpyeongdaem,174
2021,1,Geumgang_Hagueon,158
2021,1,Yeongsangang_Jungryu(juksanbo),170
2021,1,Hapcheondaem,190
2021,1,Geumgang_Seohae,212
2021,1,Hangang_Seohae,252
2021,1,Jiseokcheon,212
2021,1,Nakdongchangnyeong,201
2021,1,Yocheon,181
2021,1,Nakdongsangju,117
2021,1,Jindo,129
2021,1,Sinangun,43
2021,1,Hongcheongang,202
2021,1,Mangyeonggang,293
2021,1,Yeonggang,123
2021,1,Nakdonggang_Namhae,328
2021,1,Namgangdaem,284
2021,1,Chuncheondaem,164
2021,1,Andongdaem,122
2021,1,Nakdongmilyang,187
2021,1,Chungjudaemharyu,89
2021,1,Daecheongdaemsangryu,103
2021,1,Wicheon,153
2021,1,Gyeongancheon,146
2021,1,Chogang,126
2021,1,Boseonggang,191
2021,1,Hoeyagang,160
2021,1,Wangpicheon,233
2021,1,Sueocheon,209
2021,1,Yeongdeokosipcheon,221
2021,1,Imhadaem,188
2021,1,Taehwagang,264
2021,1,Seomjingang_Daem,217
2021,1,Paldangdaem,50
2021,1,Hwangryonggang,214
2021,1,Gumibo(nakdonggumi),87
2021,1,Seomjingang_Daemharyu,141
2021,1,Yangyang_Namdaecheon,259
2021,1,Nakdonggang_Hagueon,172
2021,1,Yeongdongcheon,162
2021,1,Andongdaemharyu,169
2021,1,Milyanggang,220
2021,1,Yongdamdaemharyu,69
2021,1,Namhangangsangryu,108
2021,1,Yongdamdaem,156
2021,1,Wando,89
2021,1,Seomgang,152
2021,1,Pyeonghwauidaem,32
2021,1,Osucheon,200
2021,1,Bunam_Seawall,118
2021,1,Daecheongdaemharyu,67
2021,1,Dalcheon,171
2021,1,Bocheongcheon,127
2021,2,Hangang_Goyang,236
2021,2,Hyeongsangang,142
2021,2,Suyeonggang,266
2021,2,Saemangeum(jiksocheon),136
2021,2,Gangjeonggoryeongbo(nakdongwaegwan),180
2021,2,Namgang,211
2021,2,Seomjingokseong,135
2021,2,Geumhogang,235
2021,2,Gapcheon,125
2021,2,Yeongsangang_Hagueon,77
2021,2,Changnyeonghapcheonbo(nakdonggoryeong),226
2021,2,Gamcheon,119
2021,2,Soyanggang,129
2021,2,Namhaedo,182
2021,2,Geumsanmyeon,110
2021,2,Tamjingang,195
2021,2,Watancheon,190
2021,2,Daeho_Seawall,139
2021,2,Yeongsangang_Sangryu,196
2021,2,Byeongseongcheon,74
2021,2,Geojedo,169
2021,2,Hangang_Jamsil,173
2021,2,Imjingangharyu,41
2021,2,Gangreung_Namdaecheon,190
2021,2,Chungjudaem,185
2021,2,Seomjingang_Seonamhae,257
2021,2,Hantangang,167
2021,2,Daecheongdaem,111
2021,2,Yeongsangang_Haryu,182
2021,2,Jejunamhae,49
2021,2,Yeongamcheon,167
2021,2,Imjingangsangryu,107
2021,2,Gahwacheon,304
2021,2,Hangang_Seoul,203
2021,2,Mihocheon,157
2021,2,Jujincheon,226
2021,2,Muju_Namdaecheon,92
2021,2,Inbukcheon,98
2021,2,Daejongcheon,133
2021,2,Sunchang,170
2021,2,Hwanggang,188
2021,2,Hoecheon,202
2021,2,Uiamdaem,170
2021,2,Gomakwoncheon,180
2021,2,Jejuseohae,42
2021,2,Sihwaho,69
2021,2,Seomjingang_Haryu,312
2021,2,Anseongcheon,231
2021,2,Geumgang_Gongju,332
2021,2,Dongjingang,191
2021,2,Namhangangharyu,299
2021,2,Naeseongcheon,134
2021,2,Pyeongchanggang,165
2021,2,Nonsancheon,200
2021,2,Sapgyocheon,237
2021,2,Isacheon,207
